id,Grouper,List_C,Meaning,created_at,updated_at
,NB19,31,Nerve,,
,NB19,32,Blister,,
,NB19,33,Harassing,,
,PL8,31 PORT,FWD PORT,,
,PL8,31 STBD,FWD STBD,,
,PL8,32 PORT,AMID PORT,,
,PL8,32 STBD,AMID STBD,,
,PL8,33 PORT,AFT PORT,,
,PL8,33 STBD,AFT STBD,,
,PL8,34,Station No____,,
